Project	Creators	Publisher	Subject	Created	Location-Coord	Location-Name
Tienshan Pamir Geodynamics Project (TIPAGE)	Yuan, Xiaohui	Deutsches GeoForschungsZentrum GFZ	Seismic waveforms	2015-12-14	36.6 69.3 40.6 74.8 Kyrgystan/Tajikistan
Lake Toba seismic network, Sumatra, Indonesia	Ryberg, Trond	Deutsches GeoForschungsZentrum GFZ		Deutsches GeoForschungsZentrum GFZ	Broadband seismic waveforms	2014-10-16	1.0 98.0 3.0 100.0	Sumatra/Indonesia
GEOFON Seismic Network	GEOFON Data Centre	Deutsches GeoForschungsZentrum GFZ	Seismic monitoring	2015-07-08	36.7 39.4 68.6 72.2	Tajikistan
TIPTIMON (Tien Shan-Pamir Monitoring Program) TAJIKISTAN (2012/2014)	Schurr, Bernd	Deutsches GeoForschungsZentrum GFZ	Seismic waveforms	2014-11-25	
Kivu Seismological Network (KivuSnet)	Oth, Adrien	Deutsches GeoForschungsZentrum GFZ	Broadband seismic waveforms	2014-04-10	-3.4 28.5 -1.2 30.0	Democratic Republic of the Congo
Pollino Seismic Experiment (2012-2014)	Passarelli, Luigi	  Deutsches GeoForschungsZentrum GFZ	  Seismic waveforms	2015-12-22	39.0 15.0 41.0 17.0	Southern Italy	 
WALPASS Network, Namibia, 2010/2012	Heit, Ben   Deutsches GeoForschungsZentrum GFZ	Broadband seismic waveforms, DESIRE	2015-07-08	-22.0 12.0 -17.0 16.0	Namibia
High Resolution Seismological Profiling across Sierra Nevada (HIRE)	Heit, Benjamin	Deutsches GeoForschungsZentrum GFZ	Seismic waveforms, PASSEQ	2015-03-03	36.7 -3.1 37.3 -2.9	Spain
DESIRE - Seismology (2006/2008)	Asch, G.	Deutsches GeoForschungsZentrum GFZ	Broadband seismic waveforms	2016-07-05	31.0 35.1 31.4 35.8	Dead Sea
PASSEQ 2006-2008: Passive Seismic Experiment in Trans-European Suture Zone	Wilde-Pi&#243;rko, Monika	Deutsches GeoForschungsZentrum GFZ Broadband seismic waveforms 2016-05-23 48.4 8.8 56.1 25.9 Poland
West--Fissure- and Atacama-Fault Seismic Network (2005/2012)   Wigger, P.	Deutsches GeoForschungsZentrum GFZ	  Broadband seismic waveforms	     2015-07-09 -22.1 -70.1 -20.4 -67.7 Northern Chile
ScanArray Core (1G 2012-2017)	 Thybo, Hans	 The ScanArray consortium	Broadband seismic waveforms    	2015-12-14 60.0 9.0 71.0 32.0 Norway    
SELASOMA Project, Madagascar 2012-2014	Tilmann, Frederik	Deutsches GeoForschungsZentrum GFZ	Seismic waveforms	    2016-11-10 -20.8 48.3 -23.4 43.7 Madagascar
Lithospheric Dynamics in the Southernmost Andean Plateau (PUDEL)	Heit, Benjamin	Deutsches GeoForschungsZentrum GFZ Seismic waveforms   2015-02-17 -27.0 -68.4 -25.4 -65.4 Argentina
The ReFuCA project: Receiver Functions Central Andes	 Asch, G&#252;nter	Deutsches GeoForschungsZentrum GFZ     Seismic waveforms       2013-09-16 -25.8 -70.1 -20.9 -64.8 Central Andes
Extended Pollino Seismic Experiment, 2014-2015, GFZ Potsdam (FEFI, Pompei, NERA projects)	Roessler, Dirk	Deutsches GeoForschungsZentrum GFZ	  Seismic waveforms 2016-05-03	  39.5 15.5 40.5 16.5 Southern Italy
Seismic network 5E: MINAS Project (2011/2013)	Asch, Guenter	Deutsches GeoForschungsZentrum GFZ	  MINAS, temporary MINi ArrayS wthin the frame of IPOC	      2015-07-08 -24.0 -70.0 -21.0 -69.0 Chile
Hungarian National Seismological Network	K&#246;vesligethy Rad&#243; Seismological Observatory (Geodetic and Geophysical Institute, Research Centre for Astronomy and Earth Sciences, Hungarian Academy of Sciences (MTA CSFK GGI KRSZO))	Deutsches GeoForschungsZentrum GFZSeismic monitoring	2016-05-03	46.1 16.6 48.1 22.5	Hungary
IPOC Seismic Network	GFZ German Research Centre for Geosciences	    Integrated Plate boundary Observatory Chile - IPOC	Seismic waveforms	2014-11-10	-25 -71 -17 -68	Northern Chile
Egelados project 2005/07,RUB Bochum, Germany	Friederich, W.	Deutsches GeoForschungsZentrum GFZ	Seismic waveforms Crete	2016-05-03	    35.4 21.8 38.9 29.0	   Greece	 
TIPTIMON (Tien Shan-Pamir Monitoring Program) AFGHANISTAN (2013/2014)	    Schurr, Bernd	Deutsches GeoForschungsZentrum GFZ    Broadband seismic waveforms	2015-07-09 35.4 37.3 69.7 71.3 Afghanistan
Temporary networks 1996-2002 on Crete, RUB Bochum, Germany		    Harjes, H.-P.	Deutsches GeoForschungsZentrum GFZ 	Seismic waveforms	Crete	None	34.8 23.5 35.6 25.3	Greece
Rohrbach/Vogtland Seismic Array 2008, Univ. Potsdam			    Roessler, Dirk	Deutsches GeoForschungsZentrum GFZ 	Seismic waveforms 2015-07-09 50.0 12.0 51.0 13.0	Germany
Cyclades project 2002-2005 and Libyan Sea offshore project 2003-2004, RUB Bochum, Germany	Meier, T.	Deutsches GeoForschungsZentrum GFZ	Seismic waveforms Cyclades	2015-07-09	33.7 24.4 37.5 26.8	Greece
Temporary seismological network in Longmenshan, LONGMEN (2012/2013)  	Qian, Hui	Deutsches GeoForschungsZentrum GFZ	 Broadband seismological waveforms, Continental tectonics: compressional, Asia	2015-07-09	32.5 104.9 30.2 102.7	China
